  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
 54830, 8.915111E-06, 4.504985E-04, 2.661012E-01, 1.157306E+01, 3.858159E+02
 54840, 8.227057E-06, 4.513016E-04, 2.659788E-01, 1.158077E+01, 3.863776E+02
 54850, 8.369440E-06, 4.497887E-04, 2.665147E-01, 1.158517E+01, 3.867854E+02
 54860, 9.253792E-06, 4.479709E-04, 2.665937E-01, 1.158731E+01, 3.871622E+02
 54870, 1.076354E-05, 4.464662E-04, 2.664819E-01, 1.158954E+01, 3.873679E+02
 54880, 1.212948E-05, 4.460076E-04, 2.663011E-01, 1.159274E+01, 3.875236E+02
 54890, 1.288801E-05, 4.449213E-04, 2.666284E-01, 1.159561E+01, 3.877823E+02
 54900, 1.344618E-05, 4.431223E-04, 2.668370E-01, 1.159755E+01, 3.880050E+02
 54910, 1.398285E-05, 4.413638E-04, 2.669357E-01, 1.159814E+01, 3.881504E+02
 54920, 1.459830E-05, 4.396700E-04, 2.669383E-01, 1.159754E+01, 3.882191E+02
 54930, 1.537496E-05, 4.382687E-04, 2.669049E-01, 1.159650E+01, 3.882373E+02
 54940, 1.638609E-05, 4.379121E-04, 2.668535E-01, 1.159571E+01, 3.882448E+02
 54950, 1.772529E-05, 4.379312E-04, 2.668112E-01, 1.159569E+01, 3.882839E+02
 54960, 1.698266E-05, 4.387381E-04, 2.667998E-01, 1.159718E+01, 3.883289E+02
 54970, 1.584476E-05, 4.406321E-04, 2.668956E-01, 1.160196E+01, 3.885364E+02
 54980, 1.427447E-05, 4.432456E-04, 2.672301E-01, 1.161317E+01, 3.890708E+02
 54990, 1.331739E-05, 4.450364E-04, 2.677004E-01, 1.162606E+01, 3.899179E+02
 55000, 1.294453E-05, 4.457481E-04, 2.681405E-01, 1.163714E+01, 3.908273E+02
 55010, 1.282338E-05, 4.448714E-04, 2.685080E-01, 1.164589E+01, 3.916793E+02
 55020, 1.278496E-05, 4.438061E-04, 2.687464E-01, 1.165134E+01, 3.923158E+02
 55030, 1.274136E-05, 4.427437E-04, 2.689242E-01, 1.165465E+01, 3.928258E+02
 55040, 1.265492E-05, 4.427356E-04, 2.692615E-01, 1.166050E+01, 3.936064E+02
 55050, 9.219257E-06, 4.442635E-04, 2.700658E-01, 1.167538E+01, 3.953819E+02
 55060, 5.998650E-06, 4.455350E-04, 2.711660E-01, 1.169670E+01, 3.981086E+02
