  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
     0, 1.000000E-02, 1.198967E-04, 8.716385E-01, 3.006310E+00, 5.914890E+02
    10, 7.296103E-05, 1.240303E-04, 8.615614E-01, 4.046606E+00, 7.978785E+02
    20, 7.328093E-05, 1.626826E-04, 8.502724E-01, 4.580917E+00, 8.306186E+02
    30, 5.332092E-05, 1.934901E-04, 8.452893E-01, 4.891165E+00, 8.489846E+02
    40, 4.949467E-05, 2.137897E-04, 8.462301E-01, 5.147201E+00, 8.763376E+02
    50, 5.043396E-05, 2.341582E-04, 8.470022E-01, 5.368406E+00, 8.964081E+02
    60, 5.156772E-05, 2.544141E-04, 8.472339E-01, 5.560079E+00, 9.117527E+02
    70, 5.220336E-05, 2.738691E-04, 8.473795E-01, 5.733068E+00, 9.252486E+02
    80, 5.253325E-05, 2.926259E-04, 8.470713E-01, 5.882269E+00, 9.356377E+02
    90, 5.291803E-05, 3.105268E-04, 8.465979E-01, 6.016369E+00, 9.441759E+02
   100, 5.313822E-05, 3.281676E-04, 8.457065E-01, 6.131504E+00, 9.501097E+02
   110, 5.343395E-05, 3.448449E-04, 8.446471E-01, 6.232875E+00, 9.545206E+02
   120, 5.434793E-05, 3.606738E-04, 8.452868E-01, 6.360238E+00, 9.667166E+02
   130, 5.527953E-05, 3.759420E-04, 8.463632E-01, 6.496079E+00, 9.807147E+02
   140, 5.556239E-05, 3.911822E-04, 8.460342E-01, 6.600210E+00, 9.876459E+02
   150, 5.505557E-05, 4.058174E-04, 8.450735E-01, 6.680094E+00, 9.911006E+02
   160, 5.460596E-05, 4.200278E-04, 8.435021E-01, 6.739277E+00, 9.907609E+02
   170, 5.444784E-05, 4.342406E-04, 8.413313E-01, 6.775699E+00, 9.870742E+02
   180, 5.469132E-05, 4.480829E-04, 8.402415E-01, 6.828650E+00, 9.882889E+02
   190, 5.507385E-05, 4.612860E-04, 8.403898E-01, 6.906089E+00, 9.949770E+02
   200, 5.521868E-05, 4.741470E-04, 8.405010E-01, 6.982561E+00, 1.001023E+03
   210, 5.511477E-05, 4.869419E-04, 8.397063E-01, 7.036635E+00, 1.002334E+03
   220, 5.513549E-05, 4.995975E-04, 8.385244E-01, 7.075445E+00, 1.001727E+03
   230, 5.538738E-05, 5.118022E-04, 8.382422E-01, 7.130320E+00, 1.005425E+03
   240, 5.552600E-05, 5.235018E-04, 8.382787E-01, 7.193462E+00, 1.010092E+03
   250, 5.546861E-05, 5.350673E-04, 8.380109E-01, 7.247874E+00, 1.013210E+03
   260, 5.581912E-05, 5.461274E-04, 8.386030E-01, 7.318894E+00, 1.020857E+03
   270, 5.576161E-05, 5.572312E-04, 8.382841E-01, 7.370176E+00, 1.023363E+03
   280, 5.558543E-05, 5.682311E-04, 8.374543E-01, 7.406172E+00, 1.023326E+03
   290, 5.569007E-05, 5.789291E-04, 8.371760E-01, 7.451081E+00, 1.026068E+03
   300, 5.576872E-05, 5.895384E-04, 8.365906E-01, 7.487336E+00, 1.027060E+03
   310, 5.590715E-05, 5.998295E-04, 8.369154E-01, 7.542232E+00, 1.032739E+03
   320, 5.599900E-05, 6.101469E-04, 8.366065E-01, 7.581378E+00, 1.034796E+03
   330, 5.612440E-05, 6.202874E-04, 8.364335E-01, 7.622982E+00, 1.037298E+03
   340, 5.607540E-05, 6.302690E-04, 8.362247E-01, 7.662634E+00, 1.039631E+03
   350, 5.599644E-05, 6.401229E-04, 8.358106E-01, 7.695898E+00, 1.040785E+03
   360, 5.597856E-05, 6.499237E-04, 8.351571E-01, 7.720661E+00, 1.040688E+03
   370, 5.609473E-05, 6.595141E-04, 8.349863E-01, 7.755160E+00, 1.042965E+03
   380, 5.599425E-05, 6.692247E-04, 8.341830E-01, 7.773607E+00, 1.041759E+03
   390, 5.605484E-05, 6.787906E-04, 8.334779E-01, 7.791580E+00, 1.041223E+03
   400, 5.609822E-05, 6.881895E-04, 8.331027E-01, 7.816383E+00, 1.042174E+03
   410, 5.618964E-05, 6.976409E-04, 8.327065E-01, 7.839959E+00, 1.042989E+03
   420, 5.617946E-05, 7.068920E-04, 8.322559E-01, 7.861260E+00, 1.043402E+03
   430, 5.620605E-05, 7.030738E-04, 8.309524E-01, 7.839817E+00, 1.049532E+03
   440, 5.598563E-05, 7.094276E-04, 8.276622E-01, 7.813093E+00, 1.049732E+03
   450, 5.616072E-05, 7.142083E-04, 8.257268E-01, 7.810478E+00, 1.052638E+03
   460, 5.617645E-05, 7.183184E-04, 8.242315E-01, 7.815041E+00, 1.055122E+03
   470, 5.618099E-05, 7.216858E-04, 8.233241E-01, 7.830783E+00, 1.059090E+03
   480, 5.638213E-05, 7.250186E-04, 8.227093E-01, 7.850246E+00, 1.064095E+03
   490, 5.644616E-05, 7.270576E-04, 8.231129E-01, 7.892873E+00, 1.072512E+03
   500, 5.617620E-05, 7.299126E-04, 8.222309E-01, 7.906389E+00, 1.073946E+03
   510, 5.603276E-05, 7.322875E-04, 8.210808E-01, 7.911635E+00, 1.074156E+03
   520, 5.612388E-05, 7.348333E-04, 8.200989E-01, 7.918660E+00, 1.075252E+03
   530, 5.591567E-05, 7.374982E-04, 8.187532E-01, 7.916426E+00, 1.073962E+03
   540, 5.596088E-05, 7.403340E-04, 8.174190E-01, 7.913048E+00, 1.072695E+03
   550, 5.595473E-05, 7.428171E-04, 8.163539E-01, 7.914559E+00, 1.072744E+03
   560, 5.591757E-05, 7.456236E-04, 8.151184E-01, 7.911747E+00, 1.071510E+03
   570, 5.597799E-05, 7.483729E-04, 8.140598E-01, 7.911886E+00, 1.071243E+03
   580, 5.596742E-05, 7.512503E-04, 8.129730E-01, 7.911061E+00, 1.070518E+03
   590, 5.614252E-05, 7.540395E-04, 8.121960E-01, 7.915966E+00, 1.071512E+03
   600, 5.600787E-05, 7.570355E-04, 8.112025E-01, 7.916613E+00, 1.070733E+03
   610, 5.597864E-05, 7.599733E-04, 8.102588E-01, 7.917673E+00, 1.070327E+03
   620, 5.615308E-05, 7.628605E-04, 8.098475E-01, 7.929343E+00, 1.072820E+03
   630, 5.615332E-05, 7.654025E-04, 8.096008E-01, 7.944631E+00, 1.075291E+03
   640, 5.613512E-05, 7.683005E-04, 8.087648E-01, 7.947195E+00, 1.075150E+03
   650, 5.604619E-05, 7.712776E-04, 8.076860E-01, 7.944156E+00, 1.073556E+03
   660, 5.618779E-05, 7.740944E-04, 8.074698E-01, 7.958531E+00, 1.076429E+03
   670, 5.623573E-05, 7.767824E-04, 8.072577E-01, 7.973086E+00, 1.079043E+03
   680, 5.621858E-05, 7.795755E-04, 8.066049E-01, 7.978467E+00, 1.079301E+03
   690, 5.609976E-05, 7.824855E-04, 8.056015E-01, 7.976187E+00, 1.077683E+03
   700, 5.618137E-05, 7.854232E-04, 8.047397E-01, 7.976128E+00, 1.077209E+03
   710, 5.631918E-05, 7.882084E-04, 8.044581E-01, 7.987195E+00, 1.079611E+03
   720, 5.620241E-05, 7.910673E-04, 8.037298E-01, 7.989772E+00, 1.079029E+03
   730, 5.614892E-05, 7.941043E-04, 8.027752E-01, 7.987210E+00, 1.077624E+03
   740, 5.628115E-05, 7.969829E-04, 8.023378E-01, 7.994514E+00, 1.078867E+03
   750, 5.624900E-05, 7.999382E-04, 8.020369E-01, 8.004602E+00, 1.080403E+03
   760, 5.621844E-05, 8.028158E-04, 8.012920E-01, 8.005906E+00, 1.079794E+03
   770, 5.617038E-05, 8.058735E-04, 8.006919E-01, 8.009618E+00, 1.079785E+03
   780, 5.639238E-05, 8.084406E-04, 8.011307E-01, 8.033716E+00, 1.085114E+03
   790, 5.631415E-05, 8.112583E-04, 8.006479E-01, 8.040102E+00, 1.085361E+03
   800, 5.648614E-05, 8.139739E-04, 8.007504E-01, 8.057395E+00, 1.088767E+03
   810, 5.628166E-05, 8.167756E-04, 8.000284E-01, 8.058969E+00, 1.087639E+03
   820, 5.617645E-05, 8.196824E-04, 7.989825E-01, 8.053270E+00, 1.085274E+03
   830, 5.631718E-05, 8.224098E-04, 7.985430E-01, 8.058722E+00, 1.086124E+03
   840, 5.636300E-05, 8.251720E-04, 7.983678E-01, 8.069397E+00, 1.087993E+03
   850, 5.618226E-05, 8.281839E-04, 7.975320E-01, 8.067586E+00, 1.086202E+03
   860, 5.627385E-05, 8.308710E-04, 7.971161E-01, 8.073261E+00, 1.086899E+03
   870, 5.636914E-05, 8.336298E-04, 7.969234E-01, 8.082871E+00, 1.088734E+03
   880, 5.632928E-05, 8.364245E-04, 7.965031E-01, 8.088402E+00, 1.089083E+03
   890, 5.638983E-05, 8.391933E-04, 7.963533E-01, 8.098824E+00, 1.090879E+03
   900, 5.637562E-05, 8.419104E-04, 7.961213E-01, 8.107874E+00, 1.091997E+03
   910, 5.622829E-05, 8.448192E-04, 7.954002E-01, 8.107532E+00, 1.090667E+03
   920, 5.628967E-05, 8.474721E-04, 7.949540E-01, 8.111868E+00, 1.090924E+03
   930, 5.631786E-05, 8.502722E-04, 7.942418E-01, 8.110735E+00, 1.090031E+03
   940, 5.620063E-05, 8.526107E-04, 7.933435E-01, 8.105308E+00, 1.088020E+03
   950, 5.618480E-05, 8.547294E-04, 7.924533E-01, 8.099579E+00, 1.086305E+03
   960, 5.617050E-05, 8.569990E-04, 7.916023E-01, 8.094355E+00, 1.084728E+03
   970, 5.621883E-05, 8.593278E-04, 7.909251E-01, 8.092323E+00, 1.083967E+03
   980, 5.618338E-05, 8.616995E-04, 7.902012E-01, 8.089473E+00, 1.082806E+03
   990, 5.632658E-05, 8.640066E-04, 7.900806E-01, 8.097531E+00, 1.084699E+03
  1000, 5.626027E-05, 8.663973E-04, 7.894271E-01, 8.096292E+00, 1.083651E+03
  1010, 5.623566E-05, 8.688325E-04, 7.888426E-01, 8.096174E+00, 1.082992E+03
  1020, 5.616359E-05, 8.711700E-04, 7.882129E-01, 8.095274E+00, 1.082004E+03
  1030, 5.625771E-05, 8.736028E-04, 7.877169E-01, 8.096627E+00, 1.081929E+03
  1040, 5.629559E-05, 8.759929E-04, 7.874374E-01, 8.101822E+00, 1.082716E+03
  1050, 5.636016E-05, 8.782747E-04, 7.873415E-01, 8.110357E+00, 1.084314E+03
  1060, 5.644156E-05, 8.806350E-04, 7.874834E-01, 8.123312E+00, 1.086961E+03
  1070, 5.649869E-05, 8.828098E-04, 7.877277E-01, 8.138304E+00, 1.089972E+03
  1080, 5.652358E-05, 8.849598E-04, 7.879602E-01, 8.153348E+00, 1.092865E+03
  1090, 5.651318E-05, 8.870228E-04, 7.880774E-01, 8.166464E+00, 1.095163E+03
  1100, 5.645773E-05, 8.890715E-04, 7.879502E-01, 8.175248E+00, 1.096272E+03
  1110, 5.634229E-05, 8.910989E-04, 7.873972E-01, 8.176268E+00, 1.095328E+03
  1120, 5.632633E-05, 8.931081E-04, 7.868454E-01, 8.176876E+00, 1.094617E+03
  1130, 5.632666E-05, 8.952220E-04, 7.863750E-01, 8.178792E+00, 1.094272E+03
  1140, 5.635439E-05, 8.973658E-04, 7.860030E-01, 8.182284E+00, 1.094379E+03
  1150, 5.643035E-05, 8.995279E-04, 7.859219E-01, 8.190844E+00, 1.095878E+03
  1160, 5.637812E-05, 9.016728E-04, 7.856720E-01, 8.196544E+00, 1.096347E+03
  1170, 5.640295E-05, 9.038072E-04, 7.854279E-01, 8.202268E+00, 1.096947E+03
  1180, 5.629938E-05, 9.059729E-04, 7.847786E-01, 8.200862E+00, 1.095467E+03
  1190, 5.640546E-05, 9.081227E-04, 7.846989E-01, 8.209079E+00, 1.096871E+03
  1200, 5.643645E-05, 9.102976E-04, 7.844632E-01, 8.214655E+00, 1.097520E+03
  1210, 5.633075E-05, 9.124567E-04, 7.840140E-01, 8.216501E+00, 1.096859E+03
  1220, 5.634909E-05, 9.146197E-04, 7.836155E-01, 8.219065E+00, 1.096630E+03
  1230, 5.632114E-05, 9.168419E-04, 7.831134E-01, 8.219807E+00, 1.095901E+03
  1240, 5.626754E-05, 9.190970E-04, 7.824617E-01, 8.217795E+00, 1.094375E+03
  1250, 5.629097E-05, 9.214075E-04, 7.819522E-01, 8.218121E+00, 1.093645E+03
  1260, 5.628751E-05, 9.236719E-04, 7.814267E-01, 8.217986E+00, 1.092701E+03
  1270, 5.636757E-05, 9.260048E-04, 7.810437E-01, 8.220341E+00, 1.092473E+03
  1280, 5.629301E-05, 9.282943E-04, 7.803752E-01, 8.217653E+00, 1.090674E+03
  1290, 5.633409E-05, 9.306177E-04, 7.800291E-01, 8.220423E+00, 1.090563E+03
  1300, 5.634657E-05, 9.329072E-04, 7.798067E-01, 8.225291E+00, 1.091038E+03
  1310, 5.634504E-05, 9.351772E-04, 7.795847E-01, 8.230144E+00, 1.091343E+03
  1320, 5.613535E-05, 9.374188E-04, 7.787997E-01, 8.225642E+00, 1.088697E+03
  1330, 5.633394E-05, 9.397866E-04, 7.786616E-01, 8.231759E+00, 1.089830E+03
  1340, 5.629952E-05, 9.419751E-04, 7.784133E-01, 8.236005E+00, 1.089822E+03
  1350, 5.631631E-05, 9.442203E-04, 7.780480E-01, 8.238380E+00, 1.089454E+03
  1360, 5.626593E-05, 9.464481E-04, 7.776964E-01, 8.240907E+00, 1.089070E+03
  1370, 5.638837E-05, 9.487593E-04, 7.776257E-01, 8.248042E+00, 1.090221E+03
  1380, 5.639517E-05, 9.509348E-04, 7.774635E-01, 8.253730E+00, 1.090679E+03
  1390, 5.635486E-05, 9.530754E-04, 7.771848E-01, 8.257445E+00, 1.090497E+03
  1400, 5.641458E-05, 9.552081E-04, 7.772124E-01, 8.266205E+00, 1.092013E+03
  1410, 5.637332E-05, 9.573687E-04, 7.768669E-01, 8.268885E+00, 1.091580E+03
  1420, 5.640106E-05, 9.593766E-04, 7.767849E-01, 8.275692E+00, 1.092468E+03
  1430, 5.639235E-05, 9.614940E-04, 7.766123E-01, 8.281123E+00, 1.092816E+03
  1440, 5.646598E-05, 9.636693E-04, 7.766411E-01, 8.289808E+00, 1.094185E+03
  1450, 5.633882E-05, 9.655878E-04, 7.762033E-01, 8.290922E+00, 1.093164E+03
  1460, 5.644112E-05, 9.677126E-04, 7.760346E-01, 8.296297E+00, 1.093862E+03
  1470, 5.632619E-05, 9.696742E-04, 7.756560E-01, 8.298076E+00, 1.093064E+03
  1480, 5.647468E-05, 9.718511E-04, 7.756855E-01, 8.306529E+00, 1.094563E+03
  1490, 5.628826E-05, 9.737901E-04, 7.752497E-01, 8.307508E+00, 1.093393E+03
  1500, 5.638761E-05, 9.758399E-04, 7.751350E-01, 8.313592E+00, 1.094179E+03
  1510, 5.646447E-05, 9.777960E-04, 7.754406E-01, 8.326476E+00, 1.096764E+03
  1520, 5.640542E-05, 9.798089E-04, 7.752114E-01, 8.330892E+00, 1.096806E+03
  1530, 5.657955E-05, 9.816823E-04, 7.755769E-01, 8.344703E+00, 1.099793E+03
  1540, 5.658772E-05, 9.836772E-04, 7.756958E-01, 8.354791E+00, 1.101531E+03
  1550, 5.642981E-05, 9.854755E-04, 7.754488E-01, 8.358837E+00, 1.101155E+03
  1560, 5.645254E-05, 9.872607E-04, 7.754096E-01, 8.366197E+00, 1.102146E+03
  1570, 5.652502E-05, 9.891800E-04, 7.754525E-01, 8.374828E+00, 1.103629E+03
  1580, 5.646217E-05, 9.908503E-04, 7.753506E-01, 8.381091E+00, 1.104027E+03
  1590, 5.654428E-05, 9.925843E-04, 7.754968E-01, 8.391402E+00, 1.105975E+03
  1600, 5.648045E-05, 9.943668E-04, 7.752103E-01, 8.394674E+00, 1.105710E+03
  1610, 5.642745E-05, 9.962391E-04, 7.748746E-01, 8.396929E+00, 1.105201E+03
  1620, 5.646995E-05, 9.980833E-04, 7.746890E-01, 8.401590E+00, 1.105538E+03
  1630, 5.660232E-05, 9.998684E-04, 7.749140E-01, 8.412807E+00, 1.107767E+03
  1640, 5.665103E-05, 1.001807E-03, 7.751282E-01, 8.424001E+00, 1.109883E+03
  1650, 5.649287E-05, 1.003358E-03, 7.749348E-01, 8.428620E+00, 1.109773E+03
  1660, 5.646853E-05, 1.005077E-03, 7.748062E-01, 8.434197E+00, 1.110289E+03
  1670, 5.645941E-05, 1.006850E-03, 7.745761E-01, 8.437962E+00, 1.110245E+03
  1680, 5.651847E-05, 1.008892E-03, 7.746478E-01, 8.446520E+00, 1.111726E+03
  1690, 5.656707E-05, 1.010400E-03, 7.748942E-01, 8.458019E+00, 1.113953E+03
  1700, 5.644644E-05, 1.011883E-03, 7.744127E-01, 8.457751E+00, 1.112506E+03
  1710, 5.651701E-05, 1.013659E-03, 7.742701E-01, 8.462774E+00, 1.113318E+03
  1720, 5.639759E-05, 1.016000E-03, 7.737338E-01, 8.461183E+00, 1.111479E+03
  1730, 5.643558E-05, 1.017142E-03, 7.736806E-01, 8.467491E+00, 1.112195E+03
  1740, 5.632149E-05, 1.019240E-03, 7.726594E-01, 8.458064E+00, 1.108391E+03
  1750, 5.667083E-05, 1.020809E-03, 7.731107E-01, 8.472213E+00, 1.112043E+03
  1760, 5.649093E-05, 1.022712E-03, 7.727583E-01, 8.473710E+00, 1.111211E+03
  1770, 5.631529E-05, 1.024517E-03, 7.716808E-01, 8.463239E+00, 1.106720E+03
  1780, 5.641565E-05, 1.026317E-03, 7.716331E-01, 8.469253E+00, 1.107802E+03
  1790, 5.654278E-05, 1.028285E-03, 7.715724E-01, 8.475015E+00, 1.108552E+03
  1800, 5.658297E-05, 1.030428E-03, 7.718665E-01, 8.486300E+00, 1.110828E+03
  1810, 5.672577E-05, 1.032027E-03, 7.725543E-01, 8.504240E+00, 1.115057E+03
  1820, 5.654263E-05, 1.033512E-03, 7.724715E-01, 8.509985E+00, 1.115344E+03
  1830, 5.636428E-05, 1.035073E-03, 7.717298E-01, 8.504946E+00, 1.112480E+03
  1840, 5.624266E-05, 1.036823E-03, 7.707412E-01, 8.496064E+00, 1.108839E+03
  1850, 5.627486E-05, 1.038594E-03, 7.698812E-01, 8.488452E+00, 1.105743E+03
  1860, 5.628454E-05, 1.040573E-03, 7.691917E-01, 8.483821E+00, 1.103492E+03
  1870, 5.619579E-05, 1.042602E-03, 7.683116E-01, 8.476154E+00, 1.100213E+03
  1880, 5.628378E-05, 1.044701E-03, 7.679872E-01, 8.477215E+00, 1.099727E+03
  1890, 5.632090E-05, 1.046755E-03, 7.678261E-01, 8.480815E+00, 1.099795E+03
  1900, 5.616880E-05, 1.048823E-03, 7.669402E-01, 8.473125E+00, 1.096230E+03
  1910, 5.635725E-05, 1.050802E-03, 7.666876E-01, 8.475102E+00, 1.096087E+03
  1920, 5.650084E-05, 1.053009E-03, 7.671779E-01, 8.488971E+00, 1.099291E+03
  1930, 5.629814E-05, 1.054765E-03, 7.665403E-01, 8.485090E+00, 1.096831E+03
  1940, 5.625554E-05, 1.056668E-03, 7.660496E-01, 8.483832E+00, 1.095473E+03
  1950, 5.634491E-05, 1.058563E-03, 7.659127E-01, 8.487693E+00, 1.095744E+03
  1960, 5.647254E-05, 1.060643E-03, 7.662525E-01, 8.499222E+00, 1.098350E+03
  1970, 5.654744E-05, 1.062541E-03, 7.665395E-01, 8.510090E+00, 1.100530E+03
  1980, 5.652874E-05, 1.064136E-03, 7.670141E-01, 8.523699E+00, 1.103285E+03
  1990, 5.657676E-05, 1.065807E-03, 7.674443E-01, 8.536844E+00, 1.106085E+03
  2000, 5.652573E-05, 1.067325E-03, 7.675198E-01, 8.544477E+00, 1.107103E+03
  2010, 5.651884E-05, 1.068904E-03, 7.675195E-01, 8.550940E+00, 1.107943E+03
  2020, 5.655363E-05, 1.070456E-03, 7.676810E-01, 8.559839E+00, 1.109526E+03
  2030, 5.653753E-05, 1.071964E-03, 7.677354E-01, 8.567079E+00, 1.110547E+03
  2040, 5.651282E-05, 1.073497E-03, 7.676546E-01, 8.572229E+00, 1.110999E+03
  2050, 5.650137E-05, 1.074943E-03, 7.676679E-01, 8.578696E+00, 1.111786E+03
  2060, 5.640690E-05, 1.076426E-03, 7.672288E-01, 8.578117E+00, 1.110440E+03
  2070, 5.639384E-05, 1.078038E-03, 7.668548E-01, 8.578500E+00, 1.109657E+03
  2080, 5.628184E-05, 1.079527E-03, 7.660791E-01, 8.572309E+00, 1.106714E+03
  2090, 5.637842E-05, 1.081265E-03, 7.655915E-01, 8.570606E+00, 1.105354E+03
  2100, 5.624354E-05, 1.083105E-03, 7.648505E-01, 8.565051E+00, 1.102665E+03
  2110, 5.616743E-05, 1.084856E-03, 7.639717E-01, 8.556997E+00, 1.099177E+03
  2120, 5.632068E-05, 1.086829E-03, 7.634735E-01, 8.555004E+00, 1.097812E+03
  2130, 5.640806E-05, 1.088771E-03, 7.633917E-01, 8.559251E+00, 1.098201E+03
  2140, 5.634112E-05, 1.090809E-03, 7.631217E-01, 8.561208E+00, 1.097822E+03
  2150, 5.635200E-05, 1.092510E-03, 7.630003E-01, 8.564925E+00, 1.097887E+03
  2160, 5.635341E-05, 1.094423E-03, 7.630295E-01, 8.571194E+00, 1.098706E+03
  2170, 5.634500E-05, 1.095995E-03, 7.625906E-01, 8.569986E+00, 1.097159E+03
  2180, 5.640362E-05, 1.097983E-03, 7.625163E-01, 8.574706E+00, 1.097926E+03
  2190, 5.643716E-05, 1.099735E-03, 7.625317E-01, 8.580603E+00, 1.098682E+03
  2200, 5.631356E-05, 1.101466E-03, 7.619946E-01, 8.578108E+00, 1.096599E+03
  2210, 5.644628E-05, 1.103016E-03, 7.618903E-01, 8.581991E+00, 1.096869E+03
  2220, 5.631746E-05, 1.104974E-03, 7.613340E-01, 8.579219E+00, 1.094923E+03
  2230, 5.647778E-05, 1.106758E-03, 7.616523E-01, 8.589782E+00, 1.097308E+03
  2240, 5.643767E-05, 1.108386E-03, 7.611860E-01, 8.588419E+00, 1.095769E+03
  2250, 5.640374E-05, 1.109915E-03, 7.614876E-01, 8.598545E+00, 1.097737E+03
  2260, 5.632179E-05, 1.111611E-03, 7.609185E-01, 8.595385E+00, 1.095516E+03
  2270, 5.626649E-05, 1.113271E-03, 7.602542E-01, 8.590962E+00, 1.093333E+03
  2280, 5.623463E-05, 1.115194E-03, 7.594748E-01, 8.584606E+00, 1.090410E+03
  2290, 5.621700E-05, 1.117061E-03, 7.591052E-01, 8.584305E+00, 1.089319E+03
  2300, 5.627638E-05, 1.118520E-03, 7.588829E-01, 8.586166E+00, 1.088897E+03
  2310, 5.622934E-05, 1.120573E-03, 7.583921E-01, 8.584361E+00, 1.087354E+03
  2320, 5.638056E-05, 1.122498E-03, 7.580870E-01, 8.585198E+00, 1.086825E+03
  2330, 5.627422E-05, 1.124273E-03, 7.577322E-01, 8.584779E+00, 1.085421E+03
  2340, 5.635599E-05, 1.125976E-03, 7.577445E-01, 8.590342E+00, 1.086261E+03
  2350, 5.629854E-05, 1.127751E-03, 7.573417E-01, 8.589674E+00, 1.084953E+03
  2360, 5.637928E-05, 1.129591E-03, 7.573829E-01, 8.595818E+00, 1.085994E+03
  2370, 5.633796E-05, 1.131453E-03, 7.572269E-01, 8.598681E+00, 1.085749E+03
  2380, 5.640637E-05, 1.133023E-03, 7.572321E-01, 8.604415E+00, 1.086612E+03
  2390, 5.642652E-05, 1.134667E-03, 7.573779E-01, 8.611932E+00, 1.087837E+03
  2400, 5.635449E-05, 1.136266E-03, 7.572670E-01, 8.615567E+00, 1.087801E+03
  2410, 5.638689E-05, 1.137749E-03, 7.572854E-01, 8.621364E+00, 1.088611E+03
  2420, 5.640624E-05, 1.139440E-03, 7.573487E-01, 8.627734E+00, 1.089546E+03
  2430, 5.640024E-05, 1.141021E-03, 7.573415E-01, 8.633127E+00, 1.090158E+03
  2440, 5.638957E-05, 1.142408E-03, 7.572588E-01, 8.637425E+00, 1.090504E+03
  2450, 5.640994E-05, 1.143778E-03, 7.572734E-01, 8.642971E+00, 1.091157E+03
  2460, 5.641886E-05, 1.145338E-03, 7.573469E-01, 8.649526E+00, 1.092162E+03
  2470, 5.637328E-05, 1.146737E-03, 7.571467E-01, 8.652099E+00, 1.091932E+03
  2480, 5.638609E-05, 1.148233E-03, 7.569986E-01, 8.655324E+00, 1.091968E+03
  2490, 5.641988E-05, 1.149796E-03, 7.569486E-01, 8.660020E+00, 1.092471E+03
  2500, 5.636022E-05, 1.151155E-03, 7.567345E-01, 8.662090E+00, 1.091992E+03
  2510, 5.635438E-05, 1.152547E-03, 7.564732E-01, 8.663540E+00, 1.091455E+03
  2520, 5.632853E-05, 1.154048E-03, 7.561995E-01, 8.664824E+00, 1.090838E+03
  2530, 5.632603E-05, 1.155725E-03, 7.559619E-01, 8.666420E+00, 1.090367E+03
  2540, 5.631650E-05, 1.157019E-03, 7.557171E-01, 8.668007E+00, 1.089868E+03
  2550, 5.630367E-05, 1.158584E-03, 7.554363E-01, 8.669116E+00, 1.089208E+03
  2560, 5.632154E-05, 1.160080E-03, 7.551942E-01, 8.670828E+00, 1.088836E+03
  2570, 5.634113E-05, 1.161745E-03, 7.549821E-01, 8.672818E+00, 1.088493E+03
  2580, 5.638672E-05, 1.163214E-03, 7.549015E-01, 8.676973E+00, 1.088908E+03
  2590, 5.635324E-05, 1.164619E-03, 7.548501E-01, 8.681154E+00, 1.089109E+03
  2600, 5.632852E-05, 1.166349E-03, 7.546146E-01, 8.682968E+00, 1.088624E+03
  2610, 5.630634E-05, 1.167888E-03, 7.543268E-01, 8.683720E+00, 1.087878E+03
  2620, 5.632068E-05, 1.169252E-03, 7.541976E-01, 8.687019E+00, 1.087945E+03
  2630, 5.638252E-05, 1.170634E-03, 7.542354E-01, 8.692656E+00, 1.088824E+03
  2640, 5.631427E-05, 1.172134E-03, 7.539564E-01, 8.693577E+00, 1.088029E+03
  2650, 5.629248E-05, 1.173712E-03, 7.536240E-01, 8.693936E+00, 1.087152E+03
  2660, 5.629268E-05, 1.175352E-03, 7.533166E-01, 8.694363E+00, 1.086342E+03
  2670, 5.629719E-05, 1.176610E-03, 7.530532E-01, 8.695438E+00, 1.085745E+03
  2680, 5.631933E-05, 1.178297E-03, 7.528497E-01, 8.697555E+00, 1.085492E+03
  2690, 5.637198E-05, 1.179866E-03, 7.528641E-01, 8.702518E+00, 1.086117E+03
  2700, 5.634060E-05, 1.181236E-03, 7.528044E-01, 8.706812E+00, 1.086425E+03
  2710, 5.637126E-05, 1.182628E-03, 7.528254E-01, 8.712203E+00, 1.087201E+03
  2720, 5.640728E-05, 1.184407E-03, 7.528402E-01, 8.717760E+00, 1.087997E+03
  2730, 5.629926E-05, 1.185483E-03, 7.525984E-01, 8.718715E+00, 1.087129E+03
  2740, 5.634605E-05, 1.186888E-03, 7.523526E-01, 8.720299E+00, 1.086750E+03
  2750, 5.642376E-05, 1.188533E-03, 7.522876E-01, 8.724147E+00, 1.087122E+03
  2760, 5.641442E-05, 1.189916E-03, 7.523972E-01, 8.730844E+00, 1.088289E+03
  2770, 5.640190E-05, 1.191111E-03, 7.522592E-01, 8.733610E+00, 1.088133E+03
  2780, 5.646483E-05, 1.192668E-03, 7.523245E-01, 8.739937E+00, 1.089272E+03
  2790, 5.646729E-05, 1.194031E-03, 7.526012E-01, 8.748564E+00, 1.090918E+03
  2800, 5.636252E-05, 1.195117E-03, 7.524014E-01, 8.750546E+00, 1.090409E+03
  2810, 5.628740E-05, 1.196482E-03, 7.519606E-01, 8.749138E+00, 1.088944E+03
  2820, 5.638849E-05, 1.198018E-03, 7.518178E-01, 8.752002E+00, 1.089156E+03
  2830, 5.628712E-05, 1.199486E-03, 7.514722E-01, 8.751527E+00, 1.087867E+03
  2840, 5.630760E-05, 1.200668E-03, 7.511661E-01, 8.751989E+00, 1.087219E+03
  2850, 5.621450E-05, 1.202091E-03, 7.505736E-01, 8.747923E+00, 1.084884E+03
